1	8275
1	18597
1	21351
2	27799
2	18182
3	29036
3	15800
3	11639
4	16348
4	26189
4	26104
4	24997
5	16445
5	17470
5	20791
6	16525
6	17091
6	7145
7	16303
7	10078
7	10219
8	16507
8	15997
8	22981
9	16542
9	16791
9	26396
9	15345


1	14819
2	19145
3	15884
4	17263
5	19205
6	16017
7	17034
8	17530
9	18842
10	18928
11	14782
12	18054
13	11932
15	22200
16	20377
17	13703
18	21570
19	16683
20	20686
21	18959
22	22343
23	21197
25	24236
26	15606
27	19892
28	14942
29	14418
30	16044
31	18888
32	17785
33	13989
34	17249
35	19490
36	22300
37	19022
38	16264
39	18645
40	18364


2	27277
3	15466
4	25114
5	14557
6	18053
7	19847
8	17098
9	17968
10	10874
11	19850
14	21277
15	15571
16	19791
17	13220
18	21939
19	13457
20	12514
22	22152
23	13027
24	20403
25	10740
26	15970
27	25338
29	13017
30	15574
31	24208
32	11246
33	9783
34	17447
36	15944
37	17449
38	21687
39	22465
40	19821


1	14463
2	20640
3	17767
4	16412
5	16273
6	18174
7	21923
8	15422
11	19065
12	16289
13	18339
15	22067
16	19301
17	13218
19	12775
20	20114
21	13571
22	16670
23	18069
24	26069
26	16682
27	19065
29	13812
30	16269
31	11752
32	15412
33	19182
34	23141
35	21229
36	32118
38	23952
39	13982
