-1404,-230,15682,70,6,15746
-935,-45,16053,41,7,16080
-1375,-196,15624,72,6,15685
-1425,-166,15589,73,6,15654
-1431,-135,15844,74,6,15909
-909,-35,16026,45,7,16051
-1392,-157,15662,76,6,15724
-1369,-173,15586,77,6,15646
-1421,-198,15662,78,6,15727
-1455,-186,15561,79,6,15629
-945,-73,16083,50,7,16110
-875,-33,16114,52,7,16137
-882,-86,15986,53,7,16010
-527,632,16464,1,4,16484
-955,-81,16056,54,7,16084
-484,678,16523,2,4,16543
-1372,-138,15588,85,6,15648
-582,634,16678,3,4,16700
-1430,-157,15636,86,6,15702
-668,688,16459,4,4,16486
-479,710,16681,5,4,16702
-863,-224,16082,58,7,16106
-576,659,16396,6,4,16419
-869,-51,16045,59,7,16068
-587,666,16609,7,4,16632
-1397,-221,15573,90,6,15637
-911,-9,16026,61,7,16051
-1443,-183,15574,92,6,15641
-1431,-143,15610,93,6,15676
-1449,-168,15555,94,6,15623
-852,-7,16062,65,7,16084
-1370,-175,15611,96,6,15671
-7134,-5112,14600,97,6,17034
326,-3752,14846,98,6,15316
17379,-1689,12252,69,7,21330
1560,20346,11232,100,6,23292
-6551,18261,20934,124,5,28541
3005,13716,19653,71,7,24153
3732,7596,9550,102,6,12760
6753,-8841,12980,126,5,17095
-15321,-13327,9036,73,7,22225
-20868,-550,6915,104,6,21990
-10448,-6735,13853,105,6,18612
-10591,-9253,5960,106,6,15274
915,-6985,5131,107,6,8715
8026,-6714,6715,130,5,12433
-3611,-1104,7293,77,7,8212
1043,-5511,22942,108,6,23617
32760,2069,13512,109,6,35497
-29577,15399,32760,110,6,46745
-477,-6560,16686,134,5,17935
-9466,7179,13812,81,7,18218
-29469,6531,-3208,112,6,30354
-7682,-19286,30394,113,6,36807
20078,-1878,-9199,114,6,22164
8662,-17,20255,115,6,22029
22057,-1552,13299,116,6,25802
-12072,15743,-26688,117,6,33253
20907,3826,32213,118,6,38592
1598,-10972,-8069,119,6,13713
20063,1232,14726,143,5,24917
9564,-19809,-1005,90,7,22019
-22064,2226,-4962,121,6,22724
-18876,1153,11825,122,6,22303
-17099,-8062,10982,123,6,21862
-32255,3738,3200,124,6,32628
-180,10163,-3518,125,6,10756
-6354,4335,29304,126,6,30296
8985,-3096,14034,127,6,16948
7612,-3531,10665,128,6,13570
4413,-5782,8910,129,6,11501
-30514,-13569,12452,99,7,35640
1834,-20890,17295,130,6,27182
-18440,2205,28567,131,6,34072
2919,-5897,8463,132,6,10719
-12619,751,4044,155,5,13272
-4321,6799,6908,133,6,10612
-14184,19342,17134,157,5,29476
-16728,11470,13295,104,7,24251
-18956,-7369,25411,135,6,32547
10625,-17482,13817,136,6,24686
3199,-13203,27837,137,6,30975
1436,-4358,24010,138,6,24444
3850,-663,9002,1,4,9813
12424,-6266,28609,139,6,31813
12535,-26558,18930,2,4,34939
-4223,675,10731,140,6,11551
-20592,15799,29162,3,4,39039
-13602,18841,15317,141,6,27831
-4365,32760,29002,4,4,43970
5056,23214,10329,5,4,25906
-11729,-5917,11961,143,6,17766
5422,-12303,-3461,6,4,13883
-9634,-5336,21771,144,6,24398
-12528,4879,25958,7,4,29233
-5549,-12709,14544,145,6,20095
1381,-3597,7923,146,6,8810
-8274,-7270,7354,169,5,13243
-12315,-2296,13558,116,7,18459
-1243,-12651,19128,147,6,22966
-2280,2122,3504,148,6,4688
15712,23986,6415,149,6,29382
23048,9610,25500,150,6,35690
27761,5003,-8331,151,6,29412
31989,-12596,28342,152,6,44555
18424,-19892,15480,153,6,31221
-5672,-11878,8136,154,6,15474
-20236,8607,12376,155,6,25233
-2393,4069,-332,156,6,4732
-16992,25314,6294,157,6,31131
-12090,31032,10346,158,6,34873
22505,6154,10786,159,6,25703
20451,-5228,3707,183,5,21431
17462,-2225,1936,130,7,17709
-27097,-2781,27024,161,6,38370
-7061,-3167,23189,162,6,24446
-5294,1362,-10989,163,6,12273
-32605,15709,-1586,164,6,36226
3345,20172,26671,165,6,33607
-552,20864,18270,166,6,27738
-9005,4181,5263,167,6,11236
2504,7088,19781,190,5,21161
-7784,1562,21939,137,7,23331
-147,-4447,20920,138,7,21387
3343,-8646,12075,169,6,15222
-9210,-16735,6514,170,6,20182
-6448,-7478,7520,171,6,12411
-23295,-7809,9988,172,6,26521
-19443,6442,12975,173,6,24246
-6290,28697,4060,197,5,29657
-25873,3758,11836,144,7,28698
-9510,2392,7142,175,6,12131
-15299,-3045,21698,176,6,26723
-7735,-17911,14474,199,5,24292
1573,-4311,8719,177,6,9852
2355,-3379,11171,200,5,11906
20714,5798,7383,147,7,22741
-7807,-11405,19106,201,5,23580
26279,-10069,30974,148,7,41849
27211,-12248,22405,202,5,37315
-2823,-4105,5759,149,7,7614
-12810,-11896,16930,180,6,24335
3185,4927,2255,181,6,6285
-2513,-1176,27133,182,6,27274
-19718,-5174,32110,183,6,38034
14087,-9298,10409,184,6,19830
16967,-8557,15458,185,6,24495
-9022,-12837,4262,186,6,16258
2928,-5749,9256,187,6,11282
-5608,1065,17342,188,6,18257
12755,-6239,31911,189,6,34927
28821,1592,8046,212,5,29965
2864,1746,-13283,159,7,13699
14257,9155,9237,160,7,19297
-32718,27711,30451,191,6,52589
-5356,25027,-32485,192,6,41355
-7141,-11437,27370,193,6,30510
-21642,-16727,17139,163,7,32278
-12530,-15317,-21301,194,6,29074
-14647,-10472,30308,164,7,35252
-31662,-21102,16298,3,4,41393
11062,5433,11632,165,7,16946
-29839,-10756,1736,196,6,31765
4578,-3047,23214,166,7,23856
15262,-541,-28320,197,6,32175
-17690,5487,9260,167,7,20707
24822,7287,12560,221,5,28757
-16940,25575,11105,199,6,32624
-22384,26433,-8141,222,5,35581
-7038,25550,23616,169,7,35497
1545,5832,-844,200,6,6091
7221,11603,4770,170,7,14474
-2840,-22478,9181,201,6,24446
12213,-6114,13875,224,5,19469
1813,-8666,19038,171,7,20995
-10601,-1664,26732,202,6,28805
-6717,-5637,20040,225,5,21874
-7448,5453,16850,172,7,19212
-15699,-10592,22520,203,6,29424
-19548,-14030,20546,226,5,31640
5263,-3322,5921,173,7,8590
-21210,-29556,15009,227,5,39353
-14218,-20619,14812,174,7,29097
-15160,4560,13539,228,5,20830
20210,-3201,4036,175,7,20856
8145,14342,31914,206,6,35924
-6334,10591,8345,229,5,14897
1558,30673,6878,176,7,31473
-17902,12842,23887,207,6,32495
32760,27105,30335,230,5,52231
17219,2859,28930,177,7,33787
-2397,10146,1559,208,6,10541
28998,587,5176,231,5,29462
-6560,11570,21157,178,7,24990
11717,-10138,28117,209,6,32103
16093,1262,23888,232,5,28830
822,-5362,6650,210,6,8581
5077,-2777,-490,233,5,5807
5815,-3041,13873,180,7,15346
10826,-17517,31820,211,6,37901
-30897,-17427,23459,234,5,42528
-9110,-6574,27785,181,7,29970
-15211,-7797,12763,212,6,21332
-10480,-6648,14226,235,5,18878
-11379,2747,17997,182,7,21469
-20250,-11129,14519,213,6,27289
-12924,-5033,9341,236,5,16721
-3814,-8496,15669,183,7,18227
-8402,21592,-12933,214,6,26534
8749,29277,1221,184,7,30580
7423,20315,29008,215,6,36183
-30912,28106,5749,238,5,42172
6852,4538,14511,185,7,16676
12686,11209,-4355,216,6,17479
4722,11819,25072,239,5,28117
-12895,5693,15568,186,7,21001
-3435,-8470,17763,217,6,19976
21996,-7110,-9355,240,5,24937
-8290,-10438,6596,187,7,14872
7241,-6483,6977,218,6,11964
-10660,-6856,9784,241,5,16011
-1253,-4159,9406,188,7,10360
-55,-6594,11528,219,6,13280
1224,-7208,13296,189,7,15173
-5416,-13923,13371,220,6,20049
9786,-18169,10854,243,5,23317
7940,-8191,6111,190,7,12941
-3894,3333,32760,221,6,33158
3260,3418,29263,244,5,29641
-8049,-7778,30251,191,7,32255
12280,14519,-554,222,6,19023
1557,5687,23304,245,5,24038
-4426,21617,9892,192,7,24181
-7398,9589,22862,223,6,25871
-3582,31237,-6066,246,5,32021
-12725,-5606,22215,193,7,26207
6653,10123,23671,247,5,26590
-10237,-10673,20724,194,7,25459
842,-12184,14153,225,6,18694
-17964,-2662,-764,248,5,18176
-15992,-9382,11796,195,7,21975
-1698,-4403,9459,226,6,10570
-25870,-527,7826,249,5,27032
-1229,-14082,11880,196,7,18464
-30921,-13655,23187,227,6,40990
6561,-12525,28560,250,5,31868
9579,-23864,16401,197,7,30499
