-12624,-11922,-29360,117,6,34110
27487,-2932,-32760,118,6,42864
-20139,5599,30734,2,7,37168
24309,30661,32760,119,6,51031
-26517,10657,-8467,3,7,29806
-8500,7789,-28684,120,6,30914
-3765,9251,-3397,4,7,10549
18379,8240,-32760,121,6,38456
-17000,27841,31692,5,7,45480
-24118,-1794,22405,122,6,32967
-6486,1888,25003,6,7,25899
-32760,7200,6506,123,6,34167
-24023,7774,24160,124,6,34946
-10766,9011,26104,125,6,29639
-1470,880,8475,126,6,8646
-2430,2978,-8273,128,6,9122
10146,1670,32224,129,6,33824
3514,-2957,32760,130,6,33080
-26476,-3466,-2180,131,6,26790
-14664,-721,32760,132,6,35899
-9769,-204,7046,133,6,12046
-5566,-6346,-15279,134,6,17455
-4569,1706,11307,135,6,12313
5723,17635,32760,136,6,37642
9876,11826,-11330,137,6,19124
14525,14376,-8769,138,6,22238
-12824,-4601,32760,139,6,35480
-6106,-2246,-30745,140,6,31425
-11820,-10156,14445,142,6,21248
28359,-5620,-9112,143,6,30312
8728,9056,-1286,144,6,12642
-4721,759,25355,145,6,25801
10849,15622,-29307,146,6,34937
-20788,497,32553,148,6,38627
-4837,13237,21307,149,6,25546
1023,2671,5711,150,6,6387
27691,-5481,-11303,151,6,30407
-5192,696,12960,152,6,13978
-16172,6528,32760,153,6,37112
8414,-5867,26159,154,6,28098
4775,4810,-32760,156,6,33453
-32760,-20407,32760,157,6,50624
-29311,-15422,-32760,1,5,46585
-20644,-3251,32760,158,6,38858
-11243,11960,32760,2,5,36642
-6944,-1881,11200,159,6,13311
29075,-14060,32760,160,6,46002
19784,-2743,31710,161,6,37476
-9089,15054,14831,162,6,23004
1562,-8893,-31893,163,6,33146
-20444,-15652,3405,164,6,25971
-3257,24269,32760,165,6,40900
-16598,13750,32760,167,6,39214
2343,12394,32760,168,6,35104
23731,9616,-8361,169,6,26935
20878,-8038,5406,171,6,23015
-3267,8067,-7026,1,7,11185
11067,-15802,-32760,172,6,38018
-2795,6489,22128,2,7,23228
-27572,16682,-30982,173,6,44703
-26126,5296,32760,3,7,42235
-32760,-3629,-14253,174,6,35910
20776,658,-31910,4,7,38083
6612,-179,-3669,5,7,7563
-32760,-14610,28242,176,6,45653
-12813,-1841,2444,6,7,13173
-16096,-15342,29494,177,6,36937
5347,4555,2069,178,6,7322
17911,-6012,5317,179,6,19626
4625,-6971,-32760,181,6,33811
-17264,24650,32760,182,6,44484
1882,7879,16367,183,6,18261
6792,5167,7558,184,6,11399
3140,5004,14597,185,6,15747
25963,1409,32760,186,6,41824
17368,-1751,-32760,187,6,37120
-18378,-14245,7057,189,6,24299
-29965,4557,-4468,190,6,30637
-71,4336,6204,191,6,7569
-9146,4146,32760,192,6,34264
19898,-3508,8636,193,6,21973
9110,16266,17502,194,6,25571
11496,-7602,1631,195,6,13878
1090,-4682,7290,196,6,8732
-11329,8626,9531,197,6,17134
-26854,-6631,4353,198,6,28001
-7505,1362,-6010,199,6,9710
-17438,-17586,26731,200,6,36440
-4859,1131,2713,201,6,5678
-11619,11552,-14468,203,6,21858
-16220,-6573,31407,204,6,35954
10246,16392,32760,205,6,38038
6826,-65,-32760,206,6,33463
-345,-5755,12794,207,6,14033
-8155,-24685,29986,1,5,39686
-23560,11743,30552,208,6,40328
-27373,14329,32760,2,5,45031
-21892,6969,5422,209,6,23605
-4656,12823,32760,210,6,35486
-18024,-7954,28707,211,6,34816
-9619,1062,30289,212,6,31797
1001,2782,32760,214,6,32893
3883,4978,32760,215,6,33362
-9064,1707,-10999,216,6,14354
603,6324,6170,217,6,8855
-11612,-3530,28734,218,6,31192
-4814,-1962,21352,219,6,21975
-2799,-3523,-4160,220,6,6127
1866,4328,32663,221,6,33001
2675,-636,-21192,222,6,21369
-4978,-4412,-10382,223,6,12330
-8136,2005,12170,224,6,14775
-925,2360,19876,225,6,20036
-656,-3087,-3309,226,6,4572
-4754,3846,-3863,2,7,7232
