3152,-2366,15596,119,6,16086
357,-1235,14571,120,6,14627
681,2520,13421,143,5,13672
-1459,-1709,15881,121,6,16039
-1291,-2005,15445,144,5,15628
-4408,-2451,15599,91,7,16394
-1650,-3013,11801,122,6,12290
1230,-2077,14654,145,5,14851
-419,-1977,16616,92,7,16738
-145,-867,15929,123,6,15953
298,-1624,11829,146,5,11943
-2785,-2218,15563,93,7,15965
-3303,-905,12806,124,6,13256
-697,661,18758,147,5,18782
-1726,-1699,17123,148,5,17293
-3195,-1601,14136,149,5,14580
-2996,-109,15255,96,7,15546
-1265,1632,14757,127,6,14900
-1266,-395,16966,97,7,17017
696,-1896,18051,128,6,18163
-2029,-441,16056,151,5,16189
1928,-447,14365,98,7,14500
-1838,-1600,16282,152,5,16463
-1749,746,15406,99,7,15522
-4682,525,18266,130,6,18863
-2216,2774,16613,153,5,16988
1390,-431,15260,100,7,15329
-1591,4331,14792,131,6,15494
-2591,6047,14417,154,5,15847
-5505,-1424,15224,101,7,16251
-1160,-639,17474,132,6,17524
896,2670,15270,155,5,15527
-1356,693,15288,102,7,15363
-897,2945,14134,133,6,14465
-1700,751,15509,156,5,15619
-1942,2680,16676,157,5,17001
-3269,1936,16575,104,7,17004
-2294,3190,20882,135,6,21248
-3101,4968,16054,158,5,17088
-3225,-701,14861,105,7,15223
-1081,-2438,15727,136,6,15951
-2312,-1595,15275,159,5,15531
-242,-422,16430,106,7,16437
-1879,1201,18184,137,6,18320
3024,1716,15557,107,7,15940
-1618,2914,15678,138,6,16028
-37,-2851,14180,108,7,14463
-241,392,15664,109,7,15670
-65,-378,15512,140,6,15516
-1654,1181,17040,163,5,17160
-373,-3819,17426,110,7,17843
3591,1880,15272,164,5,15800
1586,635,17651,111,7,17733
2493,-6,17206,165,5,17385
2523,-1050,14664,112,7,14916
-4779,-1438,15565,166,5,16345
438,-324,16857,113,7,16865
-3454,-113,13054,144,6,13503
-1686,-2300,16041,167,5,16292
-2392,600,18428,145,6,18592
647,-1427,13445,115,7,13535
-1547,-2939,18408,146,6,18705
-2549,1017,16552,169,5,16777
-3272,-1100,18675,116,7,18991
-2660,-1131,16327,147,6,16580
-783,522,13946,117,7,13977
-1134,1114,17077,171,5,17150
-806,752,15061,118,7,15101
301,797,18894,1,4,18913
-1601,-325,14611,149,6,14702
-1048,-464,16561,172,5,16600
-1710,604,14508,119,7,14620
-1545,2264,13671,2,4,13943
-5611,1928,17281,150,6,18271
-2645,-1268,16075,173,5,16340
-4442,531,15466,120,7,16100
-2652,-1597,18359,3,4,18618
-2158,-2238,13678,151,6,14026
-5352,516,14440,121,7,15408
-4867,4587,19681,4,4,20786
-2769,1604,14630,152,6,14975
-5282,2717,15324,175,5,16434
-5351,425,16366,122,7,17223
-1031,-78,19816,5,4,19842
-2692,-2232,15256,153,6,15651
-2715,-97,15459,176,5,15695
-1141,-473,16756,123,7,16801
-1942,4219,18365,6,4,18943
-2907,3456,14523,154,6,15208
957,1045,16651,177,5,16711
-313,2785,15095,155,6,15352
-4688,3578,14490,178,5,15644
-1909,6342,15688,125,7,17028
1057,6125,15417,8,4,16622
-2425,3628,16391,179,5,16961
-2632,-2373,13539,9,4,13995
-605,-2288,14312,157,6,14506
-3034,-531,16639,180,5,16921
1646,-1491,17453,127,7,17593
-2755,3832,18210,10,4,18811
-1742,-18,16754,158,6,16844
-2570,2572,17820,128,7,18187
1515,-985,17399,11,4,17492
-461,-1266,14268,159,6,14331
-1766,-1499,16017,182,5,16183
-1532,-1334,17628,129,7,17744
-1230,1695,12168,12,4,12346
-267,-126,15957,160,6,15959
-1479,583,16032,183,5,16110
921,-597,16736,130,7,16771
481,1291,20991,13,4,21036
-3417,-4783,15612,161,6,16681
-1373,-347,15699,184,5,15762
-1541,-1146,17976,131,7,18078
2021,2441,17404,14,4,17690
2122,470,15102,162,6,15257
-1334,2188,15350,185,5,15562
3494,-3255,18899,132,7,19492
4150,384,10641,15,4,11428
1190,-2859,13641,163,6,13988
4041,-2645,13427,186,5,14269
1096,1421,16324,133,7,16422
-5648,-2174,20078,16,4,20970
-3358,-1399,15276,164,6,15703
-179,-1662,15915,134,7,16002
-4228,-246,20987,17,4,21410
-2779,-11,15364,165,6,15613
-1951,263,17081,188,5,17194
391,-939,13807,18,4,13844
-715,-2253,14009,166,6,14207
-333,-3595,15508,189,5,15922
-1264,2480,16376,136,7,16610
356,2998,19123,19,4,19359
-1300,1528,18009,167,6,18120
672,1634,14027,190,5,14137
-1943,1184,13264,137,7,13457
-3972,-1399,15768,20,4,16320
-3616,-4195,14458,168,6,15482
615,-1045,17005,191,5,17048
-1417,-4935,15826,138,7,16638
-971,615,14879,21,4,14923
-4276,3146,14260,192,5,15216
-1668,1151,17640,139,7,17756
-1921,-987,25206,22,4,25298
-811,-957,13931,170,6,13987
-1168,-1956,14610,193,5,14786
-2652,381,16760,140,7,16972
-1003,1104,18731,23,4,18790
-2853,2004,15952,171,6,16328
